Cod Produto,Nome Produto,Preco Lista,Preco,Base Preco,Ref Marca,Trade Policy,Skuid,Id Listapreco,Canal Venda,Data Alterado
97,Escova Bellatrix Esqueleto Retangular,22.8,,,,1,211,1,1,2023-05-17 22:44:12.660000
98,Escova Magic Colors Black Quadrada,21.5,,,,1,212,1,1,2023-05-17 22:44:12.660000
99,Escova Magic Colors White Quadrada,21.5,,,,1,213,1,1,2023-05-17 22:44:12.660000
100,Escova Magic Colors Black Oval,21.5,,,,1,214,1,1,2023-05-17 22:44:12.660000
101,Escova Magic Colors White Oval,21.5,,,,1,215,1,1,2023-05-17 22:44:12.660000
102,Escova Atria ABS Com Tubo Cerâmico e Cerdas Mistas De 40 mm,45.2,,,,1,216,1,1,2023-05-17 22:44:12.660000
103,Escova Atria ABS Com Tubo Cerâmico e Cerdas Mistas De 35 mm,42.3,,,,1,217,1,1,2023-05-17 22:44:12.660000
104,Escova Magic Colors Black White Quadrada,21.5,,,,1,218,1,1,2023-05-17 22:44:12.660000
105,Escova Atria ABS Com Tubo Cerâmico e Cerdas Mistas De 25 mm,37.5,,,,1,219,1,1,2023-05-17 22:44:12.660000
106,Escova Atria ABS Com Tubo Cerâmico e Cerdas Mistas De 20 mm,33.6,,,,1,220,1,1,2023-05-17 22:44:12.660000
107,Escova Magic Colors Black White Oval,21.5,,,,1,221,1,1,2023-05-17 22:44:12.660000
108,Escova Sírus ABS Com Tubo De Alumínio e Cerdas Em Nylon De 40 mm,54.4,,,,1,222,1,1,2023-05-17 22:44:12.660000
109,Escova Sírus ABS Com Tubo De Alumínio e Cerdas Em Nylon De 35 mm,49.6,,,,1,223,1,1,2023-05-17 22:44:12.660000
110,Escova Sírus ABS Com Tubo De Alumínio e Cerdas Em Nylon De 30 mm,42.3,,,,1,224,1,1,2023-05-17 22:44:12.660000
111,Caixa Com 12 Rolos De Saco Para Lixo Em Rolo De 30 Litros Esfrelux Econômico Com 30 Unidades,123.8,,,,1,514,1,1,2023-05-17 22:44:12.660000
112,Caixa Com 12 Rolos De Saco Para Lixo Em Rolo De 50 Litros Esfrelux Econômico Com 30 Unidades,123.8,,,,1,515,1,1,2023-05-17 22:44:12.660000
113,Caixa Com 12 Rolos De Saco Para Lixo Em Rolo De 100 Litros Esfrelux Econômico Com 15 Unidades,123.8,,,,1,516,1,1,2023-05-17 22:44:12.660000
114,Caixa Com 40 Pacotes De Saco Para Lixo De Pia E Banheiro Esfrelux Plus Com 20 Unidades,167.7,,,,1,517,1,1,2023-05-17 22:44:12.660000
115,Caixa Com 40 Pacotes De Saco Para Lixo Esfrelux Plus Com 15 Litros Em Almofada Com 20 Unidades,138.3,,,,1,518,1,1,2023-05-17 22:44:12.660000
116,Caixa Com 40 Pacotes De Saco Para Lixo Esfrelux Plus Com 30 Litros Em Almofada Com 10 Unidades,138.3,,,,1,519,1,1,2023-05-17 22:44:12.660000
117,Caixa Com 40 Pacotes De Saco Para Lixo Esfrelux Plus Com 50 Litros Em Almofada Com 10 Unidades,138.3,,,,1,520,1,1,2023-05-17 22:44:12.660000
118,Caixa Com 40 Pacotes De Saco Para Lixo Esfrelux Plus Com 100 Litros Em Almofada Com 5 Unidades,136.9,,,,1,521,1,1,2023-05-17 22:44:12.660000
119,Caixa Com 40 Pacotes De Saco Para Lixo Esfrelux Plus Com 200 Litros Em Almofada Com 5 Unidades,199.0,,,,1,522,1,1,2023-05-17 22:44:12.660000
120,Caixa Com 36 Unidades De Escova Multiuso Oval,156.2,,,,1,523,1,1,2023-05-17 22:44:12.660000
121,Caixa Com 36 Unidades De Escova Multiuso Retangular,195.9,,,,1,524,1,1,2023-05-17 22:44:12.660000
122,Caixa Com 24 Unidades De Desentupidor De Pia,184.8,,,,1,526,1,1,2023-05-17 22:44:12.660000
123,Caixa Com 12 Unidades De Desentupidor Sanitário,176.4,,,,1,527,1,1,2023-05-17 22:44:12.660000
124,Caixa Com 12 Unidades De Limpador Sanitário,66.5,,,,1,528,1,1,2023-05-17 22:44:12.660000
125,Caixa Com 24 Unidades De Espanadeira De Plástico,168.8,,,,1,529,1,1,2023-05-17 22:44:12.660000
126,Caixa Com 12 Unidades De Escova Sanitária,69.3,,,,1,530,1,1,2023-05-17 22:44:12.660000
127,Caixa Com 6 Unidades De Escova Sanitária Com Estojo,65.6,,,,1,531,1,1,2023-05-17 22:44:12.660000
128,Caixa Com 12 Unidades De Tábua De Carne,200.9,,,,1,532,1,1,2023-05-17 22:44:12.660000
129,Caixa Com 24 Unidades De Pá Para Lixo Cabo Longo,315.8,,,,1,533,1,1,2023-05-17 22:44:12.660000
130,Caixa Com 12 Unidades De Pá Para Lixo E Espanadeira,181.5,,,,1,534,1,1,2023-05-17 22:44:12.660000
131,Caixa Com 24 Unidades De Pá Plástica Para Lixo,161.3,,,,1,535,1,1,2023-05-17 22:44:12.660000
132,Esponja Esfrelux Multiuso Sem Cabo,15.7,,,,1,395,1,1,2023-05-17 22:44:12.660000
133,Caixa Com 12 Unidades De Vassoura Lava Casa Plástica Uso Externo Com Cabo,275.5,,,,1,396,1,1,2023-05-17 22:44:12.660000
134,Caixa Com 12 Unidades De Vassoura Phenix Multiuso Com Cabo,142.4,,,,1,397,1,1,2023-05-17 22:44:12.660000
135,Caixa Com 12 Unidades De Vassoura Tutty Multiuso Com Cabo,264.3,,,,1,398,1,1,2023-05-17 22:44:12.660000
136,Caixa Com 12 Unidades De Vassoura Varre Casa Uso Interno Com Cabo,177.7,,,,1,399,1,1,2023-05-17 22:44:12.660000
137,Caixa Com 12 Unidades De Vassoura Piaçalux Com Cabo,197.9,,,,1,401,1,1,2023-05-17 22:44:12.660000
138,Caixa Com 12 Unidades De Vassoura Terreiro Com Cabo,304.7,,,,1,402,1,1,2023-05-17 22:44:12.660000
139,Caixa Com 12 Unidades De Vassoura Lava Casa Plástica Uso Externo Sem Cabo,179.5,,,,1,403,1,1,2023-05-17 22:44:12.660000
140,Caixa Com 12 Unidades De Vassoura Phenix Multiuso Sem Cabo,118.9,,,,1,404,1,1,2023-05-17 22:44:12.660000
141,Caixa Com 12 Unidades De Vassoura Tutty Multiuso Sem Cabo,183.3,,,,1,405,1,1,2023-05-17 22:44:12.660000
142,Caixa Com 12 Unidades De Vassoura Varre Casa Uso Interno Sem Cabo,192.6,,,,1,406,1,1,2023-05-17 22:44:12.660000
143,Caixa Com 12 Unidades De Vassoura Piaçalux Sem Cabo,139.8,,,,1,408,1,1,2023-05-17 22:44:12.660000
144,Caixa Com 12 Unidades De Vassoura Terreiro Sem Cabo,246.6,,,,1,409,1,1,2023-05-17 22:44:12.660000
